Employee_ID,Attrition_Status,Attrition_Date
E10241,Yes,2023-12-21
E10242,Yes,2023-03-14
E10243,Yes,2024-03-02
E10244,No,
E10245,No,
E10246,Yes,2024-09-04
E10247,No,
E10248,No,
E10249,Yes,2025-01-27
E10250,No,
E10251,Yes,2024-09-19
E10252,No,
E10253,No,
E10254,No,
E10255,No,
E10256,No,
E10257,No,
E10258,No,
E10259,No,
E10260,No,
E10261,No,
E10262,No,
E10263,No,
E10264,No,
E10265,No,
E10266,No,
E10267,No,
E10268,No,
E10269,Yes,2023-03-24
E10270,No,
E10271,No,
E10272,No,
E10273,No,
E10274,No,
E10275,No,
E10276,No,
E10277,No,
E10278,No,
E10279,No,
E10280,No,
E10281,Yes,2024-07-18
E10282,Yes,2024-05-05
E10283,No,
E10284,No,
E10285,No,
E10286,Yes,2023-05-13
E10287,No,
E10288,No,
E10289,Yes,2023-10-05
E10290,No,
E10291,No,
E10292,No,
E10293,No,
E10294,Yes,2025-01-10
E10295,No,
E10296,No,
E10297,No,
E10298,No,
E10299,No,
E10300,No,
E10301,No,
E10302,No,
E10303,Yes,2023-02-12
E10304,No,
E10305,No,
E10306,No,
E10307,Yes,2023-04-17
E10308,No,
E10309,No,
E10310,Yes,2023-02-06
E10311,Yes,2024-05-23
E10312,No,
E10313,No,
E10314,No,
E10315,No,
E10316,No,
E10317,No,
E10318,No,
E10319,No,
E10320,No,
E10321,No,
E10322,No,
E10323,No,
E10324,Yes,2024-06-03
E10325,No,
E10326,No,
E10327,No,
E10328,Yes,2023-08-19
E10329,Yes,2024-10-27
E10330,Yes,2023-12-25
E10331,No,
E10332,No,
E10333,Yes,2024-03-17
E10334,No,
E10335,No,
E10336,No,
E10337,No,
E10338,No,
E10339,No,
E10340,No,
E10341,Yes,2024-05-04
E10342,No,
E10343,No,
E10344,No,
E10345,No,
E10346,No,
E10347,No,
E10348,No,
E10349,No,
E10350,No,
E10351,No,
E10352,No,
E10353,No,
E10354,No,
E10355,No,
E10356,Yes,2023-11-07
E10357,No,
E10358,No,
E10359,No,
E10360,No,
E10361,No,
E10362,No,
E10363,No,
E10364,No,
E10365,No,
E10366,No,
E10367,Yes,2025-03-11
E10368,No,
E10369,No,
E10370,No,
E10371,No,
E10372,No,
E10373,No,
E10374,No,
E10375,No,
E10376,No,
E10377,Yes,2023-08-22
E10378,No,
E10379,No,
E10380,Yes,2023-01-22
E10381,No,
E10382,Yes,2023-02-26
E10383,No,
E10384,No,
E10385,No,
E10386,No,
E10387,Yes,2023-01-27
E10388,No,
E10389,No,
E10390,No,
E10391,No,
E10392,No,
E10393,No,
E10394,No,
E10395,Yes,2025-03-03
E10396,No,
E10397,No,
E10398,No,
E10399,Yes,2025-03-11
E10400,No,
E10401,No,
E10402,No,
E10403,No,
E10404,No,
E10405,No,
E10406,Yes,2023-07-20
E10407,No,
E10408,No,
E10409,No,
E10410,No,
E10411,No,
E10412,No,
E10413,Yes,2024-07-01
E10414,No,
E10415,No,
E10416,No,
E10417,No,
E10418,No,
E10419,No,
E10420,No,
E10421,No,
E10422,No,
E10423,No,
E10424,No,
E10425,No,
E10426,No,
E10427,No,
E10428,No,
E10429,Yes,2024-09-14
E10430,No,
E10431,No,
E10432,Yes,2024-01-24
E10433,No,
E10434,No,
E10435,No,
E10436,No,
E10437,No,
E10438,No,
E10439,No,
E10440,No,
E10441,Yes,2024-11-29
E10442,Yes,2024-12-01
E10443,No,
E10444,Yes,2025-01-25
E10445,No,
E10446,No,
E10447,Yes,2023-01-19
E10448,No,
E10449,Yes,2024-07-19
E10450,No,
E10451,No,
E10452,No,
E10453,No,
E10454,Yes,2024-05-08
E10455,No,
E10456,No,
E10457,No,
E10458,Yes,2023-02-23
E10459,No,
E10460,No,
E10461,No,
E10462,No,
E10463,No,
E10464,No,
E10465,No,
E10466,No,
E10467,No,
E10468,No,
E10469,Yes,2024-02-01
E10470,Yes,2025-02-23
E10471,Yes,2024-01-22
E10472,No,
E10473,No,
E10474,No,
E10475,No,
E10476,No,
E10477,Yes,2024-12-13
E10478,No,
E10479,Yes,2023-05-09
E10480,No,
E10481,No,
E10482,No,
E10483,No,
E10484,Yes,2024-03-16
E10485,No,
E10486,No,
E10487,No,
E10488,Yes,2024-12-19
E10489,No,
E10490,No,
E10491,No,
E10492,No,
E10493,Yes,2024-03-13
E10494,No,
E10495,No,
E10496,No,
E10497,No,
E10498,No,
E10499,No,
E10500,Yes,2024-07-16
E10501,No,
E10502,No,
E10503,Yes,2023-05-22
E10504,No,
E10505,No,
E10506,No,
E10507,Yes,2023-04-29
E10508,No,
E10509,Yes,2024-03-24
E10510,No,
E10511,No,
E10512,No,
E10513,No,
E10514,Yes,2023-05-01
E10515,No,
E10516,No,
E10517,No,
E10518,No,
E10519,No,
E10520,No,
E10521,No,
E10522,Yes,2024-09-22
E10523,No,
E10524,No,
E10525,No,
E10526,No,
E10527,No,
E10528,No,
E10529,No,
E10530,No,
E10531,No,
E10532,No,
E10533,Yes,2024-01-12
E10534,No,
E10535,No,
E10536,Yes,2023-12-27
E10537,No,
E10538,No,
E10539,Yes,2023-07-18
E10540,No,
E10541,No,
E10542,No,
E10543,No,
E10544,No,
E10545,No,
E10546,No,
E10547,No,
E10548,No,
E10549,No,
E10550,No,
E10551,Yes,2023-12-18
E10552,No,
E10553,No,
E10554,No,
E10555,No,
E10556,No,
E10557,No,
E10558,Yes,2024-03-23
E10559,No,
E10560,No,
E10561,No,
E10562,No,
E10563,No,
E10564,No,
E10565,Yes,2023-03-01
E10566,No,
E10567,No,
E10568,No,
E10569,No,
E10570,No,
E10571,No,
E10572,No,
E10573,No,
E10574,No,
E10575,No,
E10576,Yes,2023-09-01
E10577,Yes,2023-08-26
E10578,No,
E10579,No,
E10580,Yes,2023-04-05
E10581,No,
E10582,Yes,2024-08-25
E10583,No,
E10584,No,
E10585,No,
E10586,Yes,2023-01-11
E10587,No,
E10588,No,
E10589,No,
E10590,No,
E10591,No,
E10592,No,
E10593,No,
E10594,No,
E10595,No,
E10596,No,
E10597,Yes,2023-08-21
E10598,No,
E10599,No,
E10600,No,
E10601,No,
E10602,No,
E10603,No,
E10604,No,
E10605,No,
E10606,No,
E10607,Yes,2024-02-27
E10608,No,
E10609,Yes,2025-02-04
E10610,No,
E10611,No,
E10612,No,
E10613,No,
E10614,No,
E10615,No,
E10616,No,
E10617,No,
E10618,No,
E10619,No,
E10620,Yes,2025-02-09
E10621,No,
E10622,No,
E10623,No,
E10624,No,
E10625,No,
E10626,Yes,2025-03-23
E10627,No,
E10628,No,
E10629,No,
E10630,No,
E10631,No,
E10632,No,
E10633,No,
E10634,No,
E10635,No,
E10636,No,
E10637,No,
E10638,No,
E10639,No,
E10640,No,
E10641,No,
E10642,No,
E10643,No,
E10644,Yes,2024-07-03
E10645,No,
E10646,Yes,2024-08-04
E10647,No,
E10648,No,
E10649,No,
E10650,No,
E10651,No,
E10652,No,
E10653,No,
E10654,No,
E10655,Yes,2023-02-16
E10656,No,
E10657,No,
E10658,Yes,2023-01-16
E10659,No,
E10660,No,
E10661,No,
E10662,No,
E10663,Yes,2025-01-07
E10664,Yes,2023-09-13
E10665,No,
E10666,Yes,2023-02-28
E10667,Yes,2023-03-20
E10668,No,
E10669,Yes,2023-02-28
E10670,Yes,2023-05-10
E10671,Yes,2024-03-25
E10672,No,
E10673,No,
E10674,No,
E10675,No,
E10676,No,
E10677,No,
E10678,Yes,2023-07-04
E10679,Yes,2023-10-17
E10680,No,
E10681,No,
E10682,Yes,2023-02-14
E10683,No,
E10684,No,
E10685,No,
E10686,No,
E10687,No,
E10688,No,
E10689,No,
E10690,No,
E10691,No,
E10692,No,
E10693,No,
E10694,No,
E10695,No,
E10696,No,
E10697,No,
E10698,Yes,2023-11-18
E10699,No,
E10700,Yes,2023-12-25
E10701,No,
E10702,No,
E10703,Yes,2024-09-08
E10704,No,
E10705,No,
E10706,No,
E10707,Yes,2024-11-01
E10708,No,
E10709,No,
E10710,No,
E10711,No,
E10712,No,
E10713,No,
E10714,No,
E10715,Yes,2023-09-08
E10716,No,
E10717,No,
E10718,No,
E10719,No,
E10720,Yes,2023-10-27
E10721,No,
E10722,No,
E10723,No,
E10724,No,
E10725,No,
E10726,No,
E10727,No,
E10728,No,
E10729,No,
E10730,No,
E10731,No,
E10732,No,
E10733,No,
E10734,No,
E10735,No,
E10736,No,
E10737,No,
E10738,No,
E10739,No,
E10740,No,
E10741,No,
E10742,No,
E10743,No,
E10744,No,
E10745,No,
E10746,No,
E10747,No,
E10748,No,
E10749,No,
E10750,No,
E10751,No,
E10752,Yes,2023-05-13
E10753,Yes,2024-09-12
E10754,No,
E10755,No,
E10756,No,
E10757,No,
E10758,No,
E10759,No,
E10760,No,
E10761,No,
E10762,No,
E10763,Yes,2024-02-12
E10764,Yes,2024-05-05
E10765,No,
E10766,No,
E10767,No,
E10768,No,
E10769,No,
E10770,No,
E10771,No,
E10772,No,
E10773,No,
E10774,No,
E10775,No,
E10776,No,
E10777,No,
E10778,Yes,2024-11-04
E10779,Yes,2023-05-06
E10780,No,
E10781,No,
E10782,No,
E10783,No,
E10784,Yes,2024-11-03
E10785,No,
E10786,Yes,2023-03-20
E10787,Yes,2023-03-20
E10788,No,
E10789,Yes,2023-09-14
E10790,No,
E10791,No,
E10792,No,
E10793,Yes,2024-07-10
E10794,No,
E10795,No,
E10796,No,
E10797,No,
E10798,No,
E10799,No,
E10800,No,
E10801,No,
E10802,No,
E10803,No,
E10804,No,
E10805,No,
E10806,Yes,2023-07-30
E10807,No,
E10808,Yes,2024-05-21
E10809,No,
E10810,No,
E10811,Yes,2024-12-23
E10812,No,
E10813,No,
E10814,Yes,2025-01-22
E10815,No,
E10816,No,
E10817,No,
E10818,No,
E10819,No,
E10820,No,
E10821,No,
E10822,No,
E10823,No,
E10824,No,
E10825,No,
E10826,No,
E10827,No,
E10828,Yes,2024-01-01
E10829,No,
E10830,No,
E10831,Yes,2023-08-14
E10832,No,
E10833,No,
E10834,No,
E10835,No,
E10836,No,
E10837,Yes,2024-03-30
E10838,Yes,2024-12-31
E10839,Yes,2023-11-06
E10840,No,
E10841,No,
E10842,No,
E10843,No,
E10844,No,
E10845,Yes,2024-01-11
E10846,No,
E10847,No,
E10848,Yes,2025-03-09
E10849,No,
E10850,No,
E10851,No,
E10852,No,
E10853,No,
E10854,Yes,2024-07-18
E10855,No,
E10856,No,
E10857,Yes,2023-10-27
E10858,No,
E10859,No,
E10860,No,
E10861,No,
E10862,No,
E10863,No,
E10864,No,
E10865,Yes,2024-10-31
E10866,No,
E10867,No,
E10868,No,
E10869,No,
E10870,No,
E10871,No,
E10872,Yes,2023-09-08
E10873,No,
E10874,No,
E10875,No,
E10876,No,
E10877,No,
E10878,Yes,2024-06-23
E10879,No,
E10880,No,
E10881,No,
E10882,No,
E10883,Yes,2023-10-01
E10884,Yes,2023-11-23
E10885,No,
E10886,No,
E10887,No,
E10888,No,
E10889,No,
E10890,No,
E10891,Yes,2024-12-15
E10892,Yes,2024-07-08
E10893,No,
E10894,No,
E10895,No,
E10896,No,
E10897,No,
E10898,No,
E10899,No,
E10900,No,
E10901,No,
E10902,No,
E10903,No,
E10904,No,
E10905,Yes,2024-05-30
E10906,Yes,2023-04-17
E10907,No,
E10908,No,
E10909,No,
E10910,No,
E10911,No,
E10912,No,
E10913,Yes,2023-02-25
E10914,Yes,2023-12-21
E10915,No,
E10916,No,
E10917,No,
E10918,No,
E10919,No,
E10920,No,
E10921,No,
E10922,No,
E10923,Yes,2024-02-25
E10924,No,
E10925,No,
E10926,No,
E10927,Yes,2024-12-23
E10928,No,
E10929,No,
E10930,No,
E10931,No,
E10932,No,
E10933,Yes,2024-09-28
E10934,No,
E10935,No,
E10936,No,
E10937,No,
E10938,No,
E10939,No,
E10940,No,
E10941,No,
E10942,No,
E10943,No,
E10944,No,
E10945,No,
E10946,No,
E10947,No,
E10948,Yes,2024-05-12
E10949,No,
E10950,No,
E10951,No,
E10952,No,
E10953,No,
E10954,No,
E10955,No,
E10956,No,
E10957,No,
E10958,No,
E10959,No,
E10960,No,
E10961,No,
E10962,Yes,2023-10-14
E10963,No,
E10964,Yes,2023-03-22
E10965,Yes,2023-07-28
E10966,No,
E10967,No,
E10968,No,
E10969,No,
E10970,No,
E10971,No,
E10972,Yes,2023-05-21
E10973,No,
E10974,No,
E10975,No,
E10976,No,
E10977,No,
E10978,No,
E10979,Yes,2024-06-17
E10980,Yes,2023-08-25
E10981,Yes,2023-11-09
E10982,No,
E10983,No,
E10984,No,
E10985,No,
E10986,No,
E10987,No,
E10988,Yes,2025-01-29
E10989,Yes,2024-07-20
E10990,No,
E10991,No,
E10992,No,
E10993,No,
E10994,No,
E10995,No,
E10996,No,
E10997,Yes,2023-08-04
E10998,No,
E10999,No,
E11000,No,
E11001,No,
E11002,No,
E11003,No,
E11004,No,
E11005,No,
E11006,No,
E11007,No,
E11008,No,
E11009,Yes,2023-05-06
E11010,No,
E11011,Yes,2024-01-17
E11012,Yes,2025-01-12
E11013,No,
E11014,No,
E11015,No,
E11016,Yes,2025-03-17
E11017,No,
E11018,No,
E11019,No,
E11020,Yes,2023-05-26
E11021,No,
E11022,No,
E11023,Yes,2023-02-06
E11024,Yes,2023-08-29
E11025,Yes,2024-12-16
E11026,No,
E11027,No,
E11028,No,
E11029,No,
E11030,No,
E11031,No,
E11032,No,
E11033,No,
E11034,No,
E11035,No,
E11036,No,
E11037,No,
E11038,No,
E11039,No,
E11040,No,
E11041,No,
E11042,No,
E11043,No,
E11044,Yes,2024-03-26
E11045,No,
E11046,No,
E11047,No,
E11048,No,
E11049,No,
E11050,No,
E11051,No,
E11052,No,
E11053,No,
E11054,No,
E11055,Yes,2024-10-27
E11056,No,
E11057,No,
E11058,Yes,2025-02-21
E11059,Yes,2024-04-09
E11060,No,
E11061,No,
E11062,Yes,2023-04-27
E11063,Yes,2023-01-22
E11064,No,
E11065,No,
E11066,No,
E11067,No,
E11068,No,
E11069,No,
E11070,No,
E11071,No,
E11072,No,
E11073,No,
E11074,No,
E11075,No,
E11076,No,
E11077,Yes,2024-05-25
E11078,No,
E11079,No,
E11080,No,
E11081,No,
E11082,No,
E11083,No,
E11084,No,
E11085,No,
E11086,No,
E11087,No,
E11088,No,
E11089,No,
E11090,No,
E11091,Yes,2023-02-04
E11092,No,
E11093,Yes,2023-10-04
E11094,No,
E11095,Yes,2023-10-12
E11096,No,
E11097,No,
E11098,No,
E11099,No,
E11100,No,
E11101,No,
E11102,No,
E11103,No,
E11104,No,
E11105,Yes,2024-08-25
E11106,No,
E11107,No,
E11108,No,
E11109,No,
E11110,Yes,2024-01-29
E11111,No,
E11112,No,
E11113,Yes,2023-11-04
E11114,Yes,2023-03-28
E11115,No,
E11116,No,
E11117,No,
E11118,No,
E11119,No,
E11120,No,
E11121,No,
E11122,No,
E11123,No,
E11124,No,
E11125,No,
E11126,No,
E11127,No,
E11128,No,
E11129,No,
E11130,No,
E11131,Yes,2023-03-03
E11132,No,
E11133,No,
E11134,Yes,2023-10-13
E11135,Yes,2024-09-16
E11136,No,
E11137,No,
E11138,No,
E11139,No,
E11140,No,
E11141,No,
E11142,No,
E11143,No,
E11144,No,
E11145,No,
E11146,No,
E11147,No,
E11148,No,
E11149,Yes,2024-01-29
E11150,No,
E11151,No,
E11152,Yes,2024-05-22
E11153,No,
E11154,No,
E11155,No,
E11156,No,
E11157,No,
E11158,Yes,2023-01-20
E11159,No,
E11160,No,
E11161,No,
E11162,No,
E11163,No,
E11164,No,
E11165,No,
E11166,No,
E11167,No,
E11168,Yes,2024-01-27
E11169,No,
E11170,No,
E11171,No,
E11172,No,
E11173,No,
E11174,Yes,2024-01-29
E11175,No,
E11176,No,
E11177,No,
E11178,Yes,2024-03-30
E11179,No,
E11180,No,
E11181,No,
E11182,No,
E11183,No,
E11184,No,
E11185,Yes,2023-02-15
E11186,Yes,2023-08-18
E11187,Yes,2023-07-30
E11188,No,
E11189,Yes,2024-01-24
E11190,No,
E11191,No,
E11192,No,
E11193,No,
E11194,No,
E11195,No,
E11196,No,
E11197,No,
E11198,Yes,2023-07-08
E11199,No,
E11200,No,
E11201,No,
E11202,No,
E11203,No,
E11204,No,
E11205,No,
E11206,No,
E11207,No,
E11208,Yes,2024-11-06
E11209,No,
E11210,Yes,2024-03-17
E11211,No,
E11212,No,
E11213,No,
E11214,No,
E11215,Yes,2024-06-29
E11216,Yes,2023-02-23
E11217,No,
E11218,No,
E11219,No,
E11220,Yes,2024-11-07
E11221,Yes,2023-11-09
E11222,No,
E11223,No,
E11224,Yes,2023-02-02
E11225,Yes,2024-07-08
E11226,No,
E11227,No,
E11228,No,
E11229,Yes,2025-02-20
E11230,No,
E11231,No,
E11232,Yes,2023-12-23
E11233,No,
E11234,No,
E11235,No,
E11236,No,
E11237,No,
E11238,No,
E11239,No,
E11240,No,
E11241,No,
E11242,No,
E11243,Yes,2023-01-27
E11244,No,
E11245,No,
E11246,No,
E11247,No,
E11248,No,
E11249,No,
E11250,No,
E11251,No,
E11252,No,
E11253,No,
E11254,No,
E11255,No,
E11256,No,
E11257,No,
E11258,No,
E11259,No,
E11260,No,
E11261,No,
E11262,No,
E11263,No,
E11264,No,
E11265,No,
E11266,No,
E11267,No,
E11268,No,
E11269,No,
E11270,No,
E11271,No,
E11272,No,
E11273,No,
E11274,No,
E11275,No,
E11276,No,
E11277,No,
E11278,Yes,2024-09-15
E11279,No,
E11280,No,
E11281,No,
E11282,No,
E11283,Yes,2025-02-11
E11284,No,
E11285,No,
E11286,No,
E11287,No,
E11288,Yes,2023-12-11
E11289,No,
E11290,No,
E11291,No,
E11292,No,
E11293,No,
E11294,No,
E11295,No,
E11296,No,
E11297,Yes,2023-09-26
E11298,No,
E11299,No,
E11300,No,
E11301,Yes,2025-02-10
E11302,Yes,2024-08-28
E11303,No,
E11304,No,
E11305,No,
E11306,No,
E11307,Yes,2023-08-10
E11308,No,
E11309,No,
E11310,No,
E11311,No,
E11312,Yes,2025-02-14
E11313,No,
E11314,Yes,2023-01-29
E11315,No,
E11316,No,
E11317,No,
E11318,Yes,2023-12-16
E11319,No,
E11320,No,
E11321,No,
E11322,Yes,2025-01-13
E11323,No,
E11324,No,
E11325,No,
E11326,No,
E11327,No,
E11328,Yes,2024-09-28
E11329,No,
E11330,No,
E11331,No,
E11332,No,
E11333,No,
E11334,Yes,2024-03-20
E11335,No,
E11336,No,
E11337,No,
E11338,Yes,2024-03-13
E11339,No,
E11340,No,
E11341,No,
E11342,No,
E11343,No,
E11344,No,
E11345,No,
E11346,No,
E11347,No,
E11348,No,
E11349,Yes,2025-03-12
E11350,No,
E11351,No,
E11352,No,
E11353,No,
E11354,No,
E11355,No,
E11356,No,
E11357,No,
E11358,No,
E11359,Yes,2025-01-16
E11360,Yes,2025-01-23
E11361,No,
E11362,Yes,2025-02-09
E11363,No,
E11364,No,
E11365,No,
E11366,No,
E11367,No,
E11368,No,
E11369,No,
E11370,No,
E11371,Yes,2023-02-28
E11372,No,
E11373,No,
E11374,No,
E11375,No,
E11376,Yes,2023-04-22
E11377,No,
E11378,No,
E11379,No,
E11380,No,
E11381,No,
E11382,No,
E11383,No,
E11384,Yes,2024-07-20
E11385,Yes,2024-02-02
E11386,No,
E11387,No,
E11388,No,
E11389,No,
E11390,Yes,2025-01-08
E11391,Yes,2024-11-25
E11392,No,
E11393,No,
E11394,Yes,2023-10-22
E11395,No,
E11396,No,
E11397,No,
E11398,Yes,2024-07-01
E11399,No,
E11400,No,
E11401,No,
E11402,No,
E11403,No,
E11404,No,
E11405,No,
E11406,No,
E11407,No,
E11408,No,
E11409,No,
E11410,Yes,2024-04-19
E11411,No,
E11412,No,
E11413,No,
E11414,No,
E11415,No,
E11416,No,
E11417,No,
E11418,No,
E11419,No,
E11420,No,
E11421,Yes,2024-03-10
E11422,No,
E11423,No,
E11424,No,
E11425,No,
E11426,No,
E11427,No,
E11428,No,
E11429,No,
E11430,No,
E11431,No,
E11432,No,
E11433,Yes,2024-08-09
E11434,No,
E11435,No,
E11436,Yes,2025-01-06
E11437,No,
E11438,No,
E11439,No,
E11440,No,
E11441,Yes,2024-08-04
E11442,No,
E11443,No,
E11444,No,
E11445,No,
E11446,No,
E11447,No,
E11448,No,
E11449,Yes,2025-02-26
E11450,No,
E11451,No,
E11452,No,
E11453,No,
E11454,No,
E11455,No,
E11456,No,
E11457,No,
E11458,No,
E11459,No,
E11460,No,
E11461,Yes,2024-06-15
E11462,No,
E11463,No,
E11464,No,
E11465,Yes,2023-09-24
E11466,No,
E11467,Yes,2023-06-16
E11468,No,
E11469,No,
E11470,No,
E11471,No,
E11472,No,
E11473,No,
E11474,No,
E11475,Yes,2024-01-26
E11476,Yes,2024-04-23
E11477,No,
E11478,No,
E11479,No,
E11480,No,
E11481,No,
E11482,No,
E11483,Yes,2025-02-02
E11484,No,
E11485,No,
E11486,No,
E11487,No,
E11488,No,
E11489,No,
E11490,No,
E11491,No,
E11492,No,
E11493,No,
E11494,No,
E11495,No,
E11496,No,
E11497,No,
E11498,No,
E11499,No,
E11500,No,
E11501,No,
E11502,No,
E11503,No,
E11504,No,
E11505,Yes,2023-09-01
E11506,No,
E11507,No,
E11508,Yes,2023-05-16
E11509,No,
E11510,No,
E11511,Yes,2023-01-16
E11512,No,
E11513,Yes,2023-10-15
E11514,No,
E11515,No,
E11516,No,
E11517,No,
E11518,No,
E11519,Yes,2025-03-29
E11520,No,
E11521,No,
E11522,Yes,2024-11-29
E11523,Yes,2023-10-08
E11524,No,
E11525,No,
E11526,Yes,2023-03-29
E11527,Yes,2023-09-13
E11528,No,
E11529,No,
E11530,No,
E11531,No,
E11532,No,
E11533,No,
E11534,No,
E11535,No,
E11536,No,
E11537,No,
E11538,No,
E11539,No,
E11540,No,
E11541,No,
E11542,No,
E11543,No,
E11544,No,
E11545,No,
E11546,No,
E11547,No,
E11548,No,
E11549,No,
E11550,Yes,2025-02-28
E11551,Yes,2024-07-09
E11552,No,
E11553,No,
E11554,No,
E11555,No,
E11556,No,
E11557,No,
E11558,No,
E11559,No,
E11560,No,
E11561,No,
E11562,No,
E11563,No,
E11564,No,
E11565,No,
E11566,No,
E11567,No,
E11568,No,
E11569,No,
E11570,No,
E11571,No,
E11572,No,
E11573,No,
E11574,No,
E11575,No,
E11576,No,
E11577,No,
E11578,Yes,2023-10-30
E11579,No,
E11580,No,
E11581,No,
E11582,No,
E11583,Yes,2023-12-12
E11584,No,
E11585,Yes,2024-08-07
E11586,No,
E11587,No,
E11588,Yes,2024-02-09
E11589,No,
E11590,No,
E11591,No,
E11592,Yes,2023-02-09
E11593,No,
E11594,No,
E11595,No,
E11596,Yes,2024-09-22
E11597,No,
E11598,No,
E11599,No,
E11600,No,
E11601,No,
E11602,No,
E11603,No,
E11604,Yes,2023-10-08
E11605,No,
E11606,No,
E11607,No,
E11608,No,
E11609,Yes,2024-01-06
E11610,No,
E11611,No,
E11612,No,
E11613,No,
E11614,No,
E11615,No,
E11616,Yes,2023-10-03
E11617,No,
E11618,No,
E11619,No,
E11620,No,
E11621,No,
E11622,No,
E11623,No,
E11624,Yes,2024-11-06
E11625,No,
E11626,No,
E11627,No,
E11628,No,
E11629,No,
E11630,No,
E11631,No,
E11632,Yes,2023-09-14
E11633,No,
E11634,No,
E11635,Yes,2025-03-12
E11636,Yes,2024-10-30
E11637,No,
E11638,Yes,2025-03-01
E11639,No,
E11640,No,
E11641,No,
E11642,No,
E11643,Yes,2024-09-14
E11644,No,
E11645,No,
E11646,No,
E11647,No,
E11648,No,
E11649,Yes,2023-01-13
E11650,No,
E11651,No,
E11652,No,
E11653,No,
