Employee_ID,Base_Salary,Bonus,Stock_Options,Total_Compensation
E10144,146495,14650,10739,171884
E10145,93964,15874,3394,113232
E10146,94661,4066,6828,105555
E10147,105648,17518,2283,125449
E10148,104054,6994,2558,113606
E10149,169438,17486,27594,214518
E10150,68008,12022,4600,84630
E10151,57430,3613,2486,63529
E10152,96600,16326,2580,115506
E10153,120829,11517,6204,138550
E10154,90851,6889,3883,101623
E10155,136293,23374,12744,172411
E10156,69602,9642,3039,82283
E10157,69265,4111,659,74035
E10158,80094,8008,3967,92069
E10159,87666,19068,8495,115229
E10160,101982,12023,4367,118372
E10161,73771,14331,2144,90246
E10162,145598,20003,5220,170821
E10163,102006,14167,3621,119794
E10164,64935,4060,1684,70679
E10165,85611,5534,15742,106887
E10166,146797,15852,15771,178420
E10167,79760,15117,1970,96847
E10168,95543,10091,10785,116419
E10169,94669,8237,15218,118124
E10170,125665,15992,3509,145166
E10171,100641,3596,3624,107861
E10172,123912,12982,20793,157687
E10173,89260,9466,3192,101918
E10174,60095,9581,2034,71710
E10175,185562,31278,9506,226346
E10176,108020,5600,13237,126857
E10177,123460,16985,4562,145007
E10178,93941,10966,3251,108158
E10179,85658,11623,3146,100427
E10180,134115,6545,17931,158591
E10181,128225,17238,10227,155690
E10182,104222,4606,8095,116923
E10183,119127,9783,4964,133874
E10184,201054,30006,23294,254354
E10185,87380,19002,6271,112653
E10186,65093,6758,1052,72903
E10187,94733,3471,7264,105468
E10188,121343,13931,944,136218
E10189,85011,7282,1117,93410
E10190,164480,18628,8614,191722
E10191,239604,21202,15321,276127
E10192,64151,4868,3054,72073
E10193,74130,7741,7407,89278
E10194,132875,13807,11919,158601
E10195,183905,18715,15851,218471
E10196,80353,13849,1724,95926
E10197,132035,11706,6201,149942
E10198,105136,9218,5743,120097
E10199,135377,5994,7152,148523
E10200,183836,14903,13597,212336
E10201,82519,3244,2255,88018
E10202,175266,14633,33137,223036
E10203,121157,6434,22910,150501
E10204,90832,7892,7008,105732
E10205,117345,10977,6899,135221
E10206,121747,4125,10974,136846
E10207,172091,27138,19292,218521
E10208,95724,7709,4714,108147
E10209,178183,12949,31820,222952
E10210,158385,26502,19430,204317
E10211,94524,8315,8345,111184
E10212,110195,3674,4119,117988
E10213,125753,15393,6575,147721
E10214,85375,11919,2109,99403
E10215,90428,6585,2096,99109
E10216,71683,16882,52,88617
E10217,155956,26035,7129,189120
E10218,138068,13409,3189,154666
E10219,82447,8394,3648,94489
E10220,87809,5707,12116,105632
E10221,86264,8450,1743,96457
E10222,135711,12776,3796,152283
E10223,126790,7651,7113,141554
E10224,85104,8799,1090,94993
E10225,77139,10438,1527,89104
E10226,80878,15937,2421,99236
E10227,94289,10307,4541,109137
E10228,62997,2679,1516,67192
E10229,58430,5003,4347,67780
E10230,106976,9013,234,116223
E10231,131736,4866,16958,153560
E10232,91689,14659,3923,110271
E10233,94937,5900,3712,104549
E10234,83247,4782,1344,89373
E10235,134493,19163,10150,163806
E10236,93190,7464,3678,104332
E10237,108072,26817,8808,143697
E10238,188593,6527,22554,217674
E10239,88887,9477,819,99183
E10240,145443,12210,17590,175243
E10241,69806,7639,1542,78987
E10242,121376,18133,3856,143365
E10243,61024,9534,2992,73550
E10244,68238,6879,2779,77896
E10245,148294,4651,18604,171549
E10246,61688,10106,1872,73666
E10247,99811,14766,9059,123636
E10248,115017,20098,9146,144261
E10249,54415,2285,1478,58178
E10250,108530,12258,9780,130568
E10251,74367,16968,360,91695
E10252,80226,4041,2961,87228
E10253,134377,5532,19363,159272
E10254,168668,32771,14433,215872
E10255,135390,12298,20764,168452
E10256,127294,19233,4120,150647
E10257,87146,14340,4897,106383
E10258,101992,8170,1592,111754
E10259,84271,4682,3647,92600
E10260,118340,12678,10775,141793
E10261,76490,5278,1894,83662
E10262,111662,13786,7132,132580
E10263,124663,9265,17927,151855
E10264,86951,14221,6158,107330
E10265,134119,15742,19695,169556
E10266,82351,3739,1463,87553
E10267,62708,2571,1586,66865
E10268,72518,4054,212,76784
E10269,96702,22787,2550,122039
E10270,146218,26205,10201,182624
E10271,114218,3485,18464,136167
E10272,134760,18623,9716,163099
E10273,182810,24660,26139,233609
E10274,79657,7008,3679,90344
E10275,101844,4421,2056,108321
E10276,70943,2722,1684,75349
E10277,89255,6864,6189,102308
E10278,106684,14199,4182,125065
E10279,103877,7418,328,111623
E10280,133301,9409,26144,168854
E10281,98504,13598,3473,115575
E10282,91909,18320,2912,113141
E10283,72440,8457,418,81315
E10284,107144,8471,16558,132173
E10285,144324,15380,12989,172693
E10286,93394,10994,11328,115716
E10287,83437,3297,2864,89598
E10288,79147,4602,2614,86363
E10289,147433,34700,10660,192793
E10290,91113,10473,482,102068
E10291,74613,6570,12871,94054
E10292,167544,5247,23105,195896
E10293,99573,6953,8368,114894
E10294,114760,27532,6334,148626
E10295,247647,41845,39316,328808
E10296,69349,7659,2228,79236
E10297,83005,4685,633,88323
E10298,119522,19420,16748,155690
E10299,155609,22911,9443,187963
E10300,144341,24447,21377,190165
E10301,209993,30195,35208,275396
E10302,80324,5122,1321,86767
E10303,109491,15705,5772,130968
E10304,82230,5115,2444,89789
E10305,117313,9414,9687,136414
E10306,110271,17828,7648,135747
E10307,80711,8591,60,89362
E10308,143568,30467,14253,188288
E10309,92999,4694,5047,102740
E10310,75885,9135,3294,88314
E10311,62828,2846,2845,68519
E10312,121201,9101,9964,140266
E10313,194722,20723,32380,247825
E10314,106796,17924,6209,130929
E10315,150246,20199,16922,187367
E10316,103960,7331,763,112054
E10317,86479,9378,1990,97847
E10318,77933,2907,11349,92189
E10319,91188,9884,11373,112445
E10320,87187,19209,976,107372
E10321,114220,16985,6734,137939
E10322,102565,4102,4478,111145
E10323,116029,4028,4744,124801
E10324,72747,9087,698,82532
E10325,123544,13223,7307,144074
E10326,168532,23868,11512,203912
E10327,73336,2730,1951,78017
E10328,70139,3260,2317,75716
E10329,88136,4234,3016,95386
E10330,99054,19871,2002,120927
E10331,153109,23261,6025,182395
E10332,91369,5005,2020,98394
E10333,158901,5183,10520,174604
E10334,192008,7391,31126,230525
E10335,155974,12396,25944,194314
E10336,205862,29507,39419,274788
E10337,186257,28726,34429,249412
E10338,88393,6609,563,95565
E10339,72524,3932,1980,78436
E10340,183009,19993,28518,231520
E10341,70923,6282,2937,80142
E10342,95172,6507,1418,103097
E10343,182904,17529,36222,236655
E10344,74734,2268,1885,78887
E10345,71431,3814,1651,76896
E10346,186146,28956,10007,225109
E10347,171891,25177,5886,202954
E10348,173823,6741,23242,203806
E10349,84234,5894,525,90653
E10350,85321,3670,3599,92590
E10351,86329,6264,208,92801
E10352,215540,19629,38340,273509
E10353,79570,7253,3226,90049
E10354,155953,12875,14832,183660
E10355,159234,8489,8813,176536
E10356,65181,7777,2883,75841
E10357,116943,9704,19956,146603
E10358,128970,13784,9128,151882
E10359,76523,8859,1867,87249
E10360,86532,9731,2201,98464
E10361,106858,10720,10122,127700
E10362,128591,12908,3671,145170
E10363,76386,6214,1948,84548
E10364,75319,4511,3026,82856
E10365,81611,9011,5949,96571
E10366,94331,11417,4863,110611
E10367,49807,5220,2221,57248
E10368,75329,12362,4683,92374
E10369,128167,11526,23112,162805
E10370,200668,16446,28444,245558
E10371,131574,4132,12755,148461
E10372,97203,7860,17964,123027
E10373,135241,15670,24607,175518
E10374,132477,21691,5900,160068
E10375,127238,12017,10491,149746
E10376,134679,33144,13239,181062
E10377,136064,13833,16469,166366
E10378,138711,5707,27693,172111
E10379,145886,15886,12847,174619
E10380,69700,8446,353,78499
E10381,150897,7578,7718,166193
E10382,83858,4846,1309,90013
E10383,129525,18014,8650,156189
E10384,145428,20560,12698,178686
E10385,82905,6475,2387,91767
E10386,171896,18877,10048,200821
E10387,103407,25129,10097,138633
E10388,123311,6993,12591,142895
E10389,71022,4694,3456,79172
E10390,105122,7149,13686,125957
E10391,125569,10327,7195,143091
E10392,76393,5240,342,81975
E10393,89633,5418,380,95431
E10394,162128,14117,20599,196844
E10395,83466,18502,1329,103297
E10396,80324,12143,2803,95270
E10397,160250,17362,11266,188878
E10398,114136,12105,7384,133625
E10399,84372,9401,1271,95044
E10400,135940,13446,11483,160869
E10401,136223,14798,8648,159669
E10402,57335,2122,23,59480
E10403,73506,7759,3462,84727
E10404,210591,28254,11075,249920
E10405,94339,20413,4056,118808
E10406,70132,6262,6342,82736
E10407,95927,6504,4541,106972
E10408,100780,7108,12519,120407
E10409,48641,3715,1517,53873
E10410,186278,26597,19548,232423
E10411,168853,26748,16504,212105
E10412,156880,19570,12322,188772
E10413,70559,8257,5479,84295
E10414,100510,9335,1776,111621
E10415,150229,25665,6624,182518
E10416,86908,3501,2422,92831
E10417,158895,22742,4211,185848
E10418,77895,10357,1632,89884
E10419,80016,9165,2128,91309
E10420,167888,23411,13434,204733
E10421,125508,11834,17037,154379
E10422,138391,16578,15016,169985
E10423,130328,9466,7063,146857
E10424,85976,7400,3045,96421
E10425,149686,15197,24724,189607
E10426,55432,4168,2368,61968
E10427,107021,17140,3837,127998
E10428,126630,18488,15921,161039
E10429,79283,9168,1825,90276
E10430,140989,24141,23139,188269
E10431,126456,14398,15864,156718
E10432,77029,5254,3073,85356
E10433,72244,6669,299,79212
E10434,158431,11330,9197,178958
E10435,130565,10826,11751,153142
E10436,113010,14440,6548,133998
E10437,134739,14926,21920,171585
E10438,91472,6374,9589,107435
E10439,88303,5125,3272,96700
E10440,148842,18585,26004,193431
E10441,232413,23300,29141,284854
E10442,93994,8090,9084,111168
E10443,86559,12973,2785,102317
E10444,62378,2578,922,65878
E10445,104989,10919,20959,136867
E10446,58501,3671,488,62660
E10447,93444,9802,8681,111927
E10448,99365,6646,4572,110583
E10449,64483,2803,2062,69348
E10450,156050,16605,8949,181604
E10451,147789,14287,18681,180757
E10452,152477,19728,3894,176099
E10453,70532,3144,1169,74845
E10454,87980,7440,1881,97301
E10455,232731,37184,13237,283152
E10456,86443,6930,3013,96386
E10457,155789,5769,30743,192301
E10458,72452,7996,2835,83283
E10459,166759,19887,18244,204890
E10460,132203,16209,13300,161712
E10461,138497,10323,27572,176392
E10462,110166,11288,4246,125700
E10463,133356,18013,3080,154449
E10464,73781,3873,964,78618
E10465,82369,13476,3899,99744
E10466,73597,7680,1796,83073
E10467,143650,24645,10893,179188
E10468,126868,16896,18829,162593
E10469,96012,23900,6748,126660
E10470,51365,5218,2281,58864
E10471,83791,2988,11487,98266
E10472,85147,8281,2901,96329
E10473,139455,11665,14524,165644
E10474,66031,7737,4872,78640
E10475,81566,8349,2142,92057
E10476,96380,13889,6391,116660
E10477,88037,10491,8341,106869
E10478,142086,11550,6118,159754
E10479,62559,4345,1409,68313
E10480,63104,4208,107,67419
E10481,121427,14987,6632,143046
E10482,96212,10551,2362,109125
E10483,99624,6629,300,106553
E10484,147786,23591,3343,174720
E10485,151746,21740,3145,176631
E10486,105390,13571,5158,124119
E10487,95900,8857,11963,116720
E10488,91974,12358,3111,107443
E10489,114261,10767,10472,135500
E10490,48378,5662,1411,55451
E10491,74095,4834,2214,81143
E10492,102455,5874,337,108666
E10493,74916,10473,301,85690
E10494,160108,13771,20127,194006
E10495,65984,7897,2516,76397
E10496,152287,35671,13263,201221
E10497,82348,5438,2228,90014
E10498,173606,29431,24023,227060
E10499,76527,9620,5292,91439
E10500,79028,7186,3543,89757
E10501,103177,4840,5032,113049
E10502,67977,3526,3317,74820
E10503,136626,32470,9562,178658
E10504,119608,14127,12777,146512
E10505,151638,15575,13339,180552
E10506,142687,17166,10887,170740
E10507,53386,6318,1611,61315
E10508,206226,33969,34723,274918
E10509,83921,10430,1706,96057
E10510,130979,9265,2828,143072
E10511,80947,8829,1060,90836
E10512,91145,2975,3638,97758
E10513,87301,15109,8196,110606
E10514,111899,4257,8503,124659
E10515,196908,33503,15153,245564
E10516,214526,18536,41679,274741
E10517,84777,9938,2170,96885
E10518,83263,2562,5385,91210
E10519,81916,14458,2137,98511
E10520,161349,13910,31406,206665
E10521,77446,3196,1673,82315
E10522,65232,7610,3073,75915
E10523,53182,5385,1534,60101
E10524,78263,8263,12391,98917
E10525,209251,25769,19221,254241
E10526,74031,2755,250,77036
E10527,113461,10766,9405,133632
E10528,116952,27900,3913,148765
E10529,166095,10730,26152,202977
E10530,105732,10363,6485,122580
E10531,99670,9181,13585,122436
E10532,102368,13040,8215,123623
E10533,60307,10015,1299,71621
E10534,106616,9479,2070,118165
E10535,71753,6930,2111,80794
E10536,62059,6536,2477,71072
E10537,128502,6430,11399,146331
E10538,73692,10611,3007,87310
E10539,73048,7158,2366,82572
E10540,212677,34649,21696,269022
E10541,125872,17592,5534,148998
E10542,143440,25723,10925,180088
E10543,98440,22809,3564,124813
E10544,95196,9715,3032,107943
E10545,80415,4188,1786,86389
E10546,148934,22333,3241,174508
E10547,87639,5474,11928,105041
E10548,71373,2738,2185,76296
E10549,89203,8548,1071,98822
E10550,85693,5750,6897,98340
E10551,64892,5574,2804,73270
E10552,154962,23391,11929,190282
E10553,111270,8995,4093,124358
E10554,121964,10340,8516,140820
E10555,111449,6705,10907,129061
E10556,75300,6702,1661,83663
E10557,143091,18291,18532,179914
E10558,115188,13189,21846,150223
E10559,82791,4398,1079,88268
E10560,99959,9035,2355,111349
E10561,105812,9675,3097,118584
E10562,124248,6244,7174,137666
E10563,84374,4325,13763,102462
E10564,133575,8563,26333,168471
E10565,78458,14484,315,93257
E10566,123969,13007,5301,142277
E10567,68637,5243,2930,76810
E10568,96226,7025,4318,107569
E10569,61715,6845,2302,70862
E10570,81773,13501,3757,99031
E10571,79282,5114,2291,86687
E10572,118693,13710,23650,156053
E10573,71292,2581,80,73953
E10574,154648,24233,12817,191698
E10575,171344,19009,9988,200341
E10576,107616,10604,8475,126695
E10577,112048,12142,21468,145658
E10578,67746,8601,3126,79473
E10579,103117,13510,4858,121485
E10580,109839,17835,4300,131974
E10581,79764,5297,1720,86781
E10582,130160,19431,7526,157117
E10583,87330,8589,2497,98416
E10584,98670,21545,7407,127622
E10585,127236,16861,8833,152930
E10586,98907,20306,2761,121974
E10587,155836,24585,22568,202989
E10588,102272,9358,8070,119700
E10589,104264,4945,13576,122785
E10590,137021,20715,18927,176663
E10591,180576,15951,20846,217373
E10592,74839,2893,1563,79295
E10593,106786,9414,12152,128352
E10594,88479,20462,3432,112373
E10595,98715,11977,8317,119009
E10596,92714,3896,2252,98862
E10597,126544,17851,7645,152040
E10598,139297,14473,10822,164592
E10599,191837,25803,23275,240915
E10600,127512,11506,14739,153757
E10601,120631,9159,13523,143313
E10602,116479,17040,6487,140006
E10603,140371,15038,12200,167609
E10604,201238,18834,34057,254129
E10605,126279,4275,10012,140566
E10606,84255,8812,2272,95339
E10607,86900,2874,8548,98322
E10608,138728,24011,10754,173493
E10609,65981,5173,2280,73434
E10610,108586,12361,8238,129185
E10611,155963,16779,28510,201252
E10612,129592,12522,21657,163771
E10613,106756,12451,4950,124157
E10614,125708,5171,13707,144586
E10615,183791,23216,33102,240109
E10616,63459,9686,5451,78596
E10617,180996,20056,34061,235113
E10618,143426,17185,12491,173102
E10619,170177,19419,11810,201406
E10620,107160,8476,1769,117405
E10621,95142,3725,8932,107799
E10622,87750,4485,9376,101611
E10623,74485,8743,1089,84317
E10624,132700,13325,10986,157011
E10625,134886,11648,10260,156794
E10626,61670,10165,613,72448
E10627,90306,3309,812,94427
E10628,124806,10154,4673,139633
E10629,116043,3643,11269,130955
E10630,99816,14420,7448,121684
E10631,118713,4350,2190,125253
E10632,106109,10536,5723,122368
E10633,79016,6981,166,86163
E10634,72719,4069,1746,78534
E10635,119035,9736,13836,142607
E10636,74584,4998,2549,82131
E10637,78153,8568,788,87509
E10638,148575,30378,11561,190514
E10639,141427,32228,10950,184605
E10640,80074,6142,2492,88708
E10641,172231,27233,17862,217326
E10642,128826,24778,3181,156785
E10643,172488,26631,14749,213868
E10644,109458,22186,10334,141978
E10645,145769,16042,26513,188324
E10646,53548,2211,528,56287
E10647,69352,7114,1114,77580
E10648,138652,12164,2883,153699
E10649,219006,30774,21150,270930
E10650,96012,11424,3843,111279
E10651,133241,13094,18078,164413
E10652,66943,6488,2908,76339
E10653,136080,23857,13189,173126
E10654,108891,8123,1204,118218
E10655,77688,6337,2155,86180
E10656,129413,8165,21130,158708
E10657,137530,22866,9590,169986
E10658,71197,13849,926,85972
E10659,183994,30754,18063,232811
E10660,180135,31566,13321,225022
E10661,71845,13039,36,84920
E10662,74002,11709,4536,90247
E10663,81403,7838,675,89916
E10664,93504,12815,3381,109700
E10665,167473,11986,10008,189467
E10666,130468,11940,13190,155598
E10667,88185,10523,1382,100090
E10668,156557,17152,28763,202472
E10669,104893,6947,18990,130830
E10670,60184,10112,2478,72774
E10671,135356,22601,21920,179877
E10672,58742,2673,2803,64218
E10673,132828,4410,10450,147688
E10674,100015,5575,4100,109690
E10675,69172,3010,2329,74511
E10676,60820,10860,4629,76309
E10677,210716,28787,24028,263531
E10678,72103,5826,2351,80280
E10679,66139,6711,785,73635
E10680,100805,5370,13058,119233
E10681,114167,8796,22332,145295
E10682,80202,9730,2746,92678
E10683,113495,4360,17174,135029
E10684,182671,22646,7092,212409
E10685,93839,16074,8189,118102
E10686,75462,5259,3484,84205
E10687,86661,6123,469,93253
E10688,129684,29797,7288,166769
E10689,116326,6484,3873,126683
E10690,115057,8524,21001,144582
E10691,133766,16675,8421,158862
E10692,122116,20102,6546,148764
E10693,80317,2678,158,83153
E10694,89812,14547,5758,110117
E10695,110511,6066,10984,127561
E10696,103716,10966,10315,124997
E10697,135165,18467,9171,162803
E10698,106924,12505,3974,123403
E10699,81332,9039,16176,106547
E10700,83959,7874,2481,94314
E10701,59751,6576,2298,68625
E10702,107151,5109,20932,133192
E10703,80816,18375,3033,102224
E10704,172443,11845,33024,217312
E10705,123265,14582,12857,150704
E10706,111366,15521,2687,129574
E10707,76524,13247,3688,93459
E10708,99843,11309,13195,124347
E10709,97609,15344,3764,116717
E10710,84380,8218,2326,94924
E10711,92403,6709,3516,102628
E10712,111415,17087,2760,131262
E10713,91177,4998,305,96480
E10714,69812,4650,3211,77673
E10715,133173,20216,7306,160695
E10716,111743,18648,4925,135316
E10717,123076,13978,23043,160097
E10718,87682,13464,8760,109906
E10719,189548,30737,26941,247226
E10720,81223,5024,2274,88521
E10721,77291,7348,7219,91858
E10722,199168,29608,15287,244063
E10723,133359,11650,19329,164338
E10724,121817,12958,10294,145069
E10725,113948,19512,9020,142480
E10726,148951,17242,24168,190361
E10727,140965,14572,24070,179607
E10728,107243,4463,8778,120484
E10729,142305,7941,18971,169217
E10730,113569,9687,7549,130805
E10731,165434,17237,10524,193195
E10732,195915,34412,33828,264155
E10733,129843,10341,5271,145455
E10734,81683,12509,2825,97017
E10735,87961,16205,2487,106653
E10736,133021,16052,7429,156502
E10737,102904,10701,1908,115513
E10738,97250,3116,7010,107376
E10739,110715,13582,5513,129810
E10740,69592,7606,2018,79216
E10741,80428,3029,3236,86693
E10742,82950,10876,2129,95955
E10743,136576,24046,12909,173531
E10744,66809,7770,338,74917
E10745,73531,11595,1981,87107
E10746,73782,11453,6830,92065
E10747,65316,5638,765,71719
E10748,111822,14459,9133,135414
E10749,104004,16786,4203,124993
E10750,64904,5749,3173,73826
E10751,206077,18363,33702,258142
E10752,94185,15443,6806,116434
E10753,97486,10474,8759,116719
E10754,176158,34341,11805,222304
E10755,109400,10917,10266,130583
E10756,185527,31496,18127,235150
E10757,89335,10119,2630,102084
E10758,71573,8111,1890,81574
E10759,64281,9367,5955,79603
E10760,91800,7911,12052,111763
E10761,182655,14882,23127,220664
E10762,86573,9755,1941,98269
E10763,114973,18268,3483,136724
E10764,129932,20696,3852,154480
E10765,173964,24217,26127,224308
E10766,152804,15819,8664,177287
E10767,81567,3349,2228,87144
E10768,118395,15015,22384,155794
E10769,87855,20816,3439,112110
E10770,114608,3986,12255,130849
E10771,108008,7737,18004,133749
E10772,228323,19614,44764,292701
E10773,95428,5011,7110,107549
E10774,65863,7630,2953,76446
E10775,112983,4454,11653,129090
E10776,143520,4962,23017,171499
E10777,131429,14861,9773,156063
E10778,78739,7264,2784,88787
E10779,62086,1930,2769,66785
E10780,160013,19100,11271,190384
E10781,81608,9450,778,91836
E10782,141228,12271,10382,163881
E10783,93512,22425,4403,120340
E10784,111412,13106,10734,135252
E10785,196168,18200,19027,233395
E10786,69350,9742,2725,81817
E10787,81397,4229,63,85689
E10788,72950,2209,3144,78303
E10789,69135,6737,3167,79039
E10790,60600,7095,1540,69235
E10791,135964,15191,15254,166409
E10792,79024,4349,1654,85027
E10793,74995,6767,3001,84763
E10794,124090,13977,5894,143961
E10795,182163,7897,18491,208551
E10796,134141,23808,13382,171331
E10797,63542,8821,3453,75816
E10798,86561,9139,2781,98481
E10799,73850,3878,3576,81304
E10800,117246,13990,7299,138535
E10801,91939,6704,1790,100433
E10802,233399,33368,12286,279053
E10803,165682,19797,5437,190916
E10804,113164,5914,5364,124442
E10805,107084,10600,4367,122051
E10806,88362,7417,891,96670
E10807,51721,2704,445,54870
E10808,116421,13931,7806,138158
E10809,139364,11632,7191,158187
E10810,198504,20971,27312,246787
E10811,63298,8121,6198,77617
E10812,122354,12437,7486,142277
E10813,146582,17195,10291,174068
E10814,83147,9106,5478,97731
E10815,163715,21546,12212,197473
E10816,100085,8505,7313,115903
E10817,88609,5481,3607,97697
E10818,74235,3131,2701,80067
E10819,173819,18312,16966,209097
E10820,95631,15167,8325,119123
E10821,148932,12779,18847,180558
E10822,174033,27797,29145,230975
E10823,91675,12945,8888,113508
E10824,71665,3652,1667,76984
E10825,87284,9981,4993,102258
E10826,116909,13653,4669,135231
E10827,141877,31483,4233,177593
E10828,160855,22956,12676,196487
E10829,108687,7766,4066,120519
E10830,74367,5565,1838,81770
E10831,80090,11681,3031,94802
E10832,116247,18406,4591,139244
E10833,101960,8785,5151,115896
E10834,163364,24848,8968,197180
E10835,75317,2629,2103,80049
E10836,77062,7996,197,85255
E10837,88405,9197,7634,105236
E10838,103595,11786,7987,123368
E10839,106297,9513,4654,120464
E10840,158313,16116,11888,186317
E10841,120498,8023,7144,135665
E10842,98140,9197,1570,108907
E10843,152966,13808,15838,182612
E10844,83507,7747,5548,96802
E10845,162171,23756,31529,217456
E10846,106785,7525,4111,118421
E10847,169846,17345,14916,202107
E10848,61844,4726,301,66871
E10849,146381,20766,13433,180580
E10850,116811,14077,7745,138633
E10851,135207,13155,9706,158068
E10852,69001,6091,2886,77978
E10853,119622,4894,17330,141846
E10854,44739,3974,1990,50703
E10855,173259,9421,28449,211129
E10856,145657,4388,18668,168713
E10857,257780,32630,34690,325100
E10858,94032,10437,5817,110286
E10859,198268,20410,4832,223510
E10860,122533,15911,23307,161751
E10861,95685,5770,18959,120414
E10862,87947,4974,1339,94260
E10863,62203,6135,2549,70887
E10864,66188,2480,3301,71969
E10865,79580,5237,77,84894
E10866,130800,13693,5989,150482
E10867,211801,22988,28698,263487
E10868,79853,5571,8717,94141
E10869,107606,12164,21002,140772
E10870,85223,12436,3012,100671
E10871,55605,2635,1093,59333
E10872,108734,20210,3985,132929
E10873,85990,3770,3427,93187
E10874,97174,16377,2729,116280
E10875,127495,8688,10597,146780
