employee_idx,attrition_probability,risk_tier,cluster,cluster_persona,base_salary,expected_attrition_cost
26,0.06405143244067721,Low,1,Stable Performer,205461.0,19740.10704104097
27,0.0465502985313155,Low,3,Underpaid High Performer,83523.0,5832.030876346597
28,0.030917797310639292,Low,1,Stable Performer,126486.0,5866.002765950282
29,0.04168016229558809,Low,1,Stable Performer,145357.0,9087.755026199697
30,0.10489118667904793,Low,1,Stable Performer,94195.0,14820.33799384938
31,0.04047135157148986,Low,1,Stable Performer,157164.0,9540.959247572448
32,0.05515471004463857,Low,1,Stable Performer,158358.0,13101.284359873312
33,0.2993528611793072,Low,2,Burnt-Out Overachiever,88410.0,39698.67968529383
34,0.6057334780499689,Medium,0,Disengaged Mid-Tenure,95734.0,86983.93318145358
35,0.07682560452900689,Low,1,Stable Performer,213174.0,24565.83212979977
36,0.07748706832559071,Low,1,Stable Performer,62154.0,7224.196867063148
37,0.051969926075716134,Low,1,Stable Performer,141653.0,11042.543907605126
38,0.05902188622652986,Low,1,Stable Performer,82061.0,7265.0925084529
39,0.034322490875010575,Low,1,Stable Performer,121513.0,6255.94325054274
40,0.05562014631584338,Low,1,Stable Performer,175310.0,14626.151775945755
41,0.04085238581869608,Low,3,Underpaid High Performer,71271.0,4367.3855845264325
42,0.15920022755679475,Low,2,Burnt-Out Overachiever,88670.0,21174.426266191487
43,0.7150913194597679,High,0,Disengaged Mid-Tenure,55717.0,59764.11456950983
44,0.14632838498773904,Low,1,Stable Performer,155509.0,34133.07123158746
45,0.03349366959480038,Low,1,Stable Performer,130829.0,6572.914949127208
46,0.08985910912177184,Low,1,Stable Performer,152970.0,20618.621883536158
47,0.028014501052456505,Low,3,Underpaid High Performer,88242.0,3708.0834028063005
48,0.1707821612060607,Low,3,Underpaid High Performer,104216.0,26697.350568376234
49,0.7478238559733047,High,0,Disengaged Mid-Tenure,94240.0,105712.38028038635
50,0.5277921985245639,Medium,0,Disengaged Mid-Tenure,59531.0,47129.99605554873
51,0.06061636162072808,Low,1,Stable Performer,167209.0,15203.401815360483
52,0.15096167554995282,Low,0,Disengaged Mid-Tenure,88096.0,19948.679653872965
53,0.0689843832472758,Low,1,Stable Performer,104490.0,10812.267308261771
54,0.4673080992918646,Medium,2,Burnt-Out Overachiever,99079.0,69450.62875460798
55,0.509554488092902,Medium,0,Disengaged Mid-Tenure,70534.0,53911.37439471713
56,0.10062010247261574,Low,1,Stable Performer,91051.0,13742.341425351204
57,0.0530488051084092,Low,1,Stable Performer,128455.0,10221.576390301056
58,0.029299270969670783,Low,1,Stable Performer,130213.0,5722.718956160613
59,0.6210072789023972,Medium,0,Disengaged Mid-Tenure,162455.0,151328.60624113338
60,0.1590262317825238,Low,2,Burnt-Out Overachiever,113666.0,27113.81349268853
61,0.3381056064433261,Low,0,Disengaged Mid-Tenure,99854.0,50641.79583868782
62,0.049721630193329834,Low,1,Stable Performer,127388.0,9500.908540601851
63,0.12042639225225725,Low,1,Stable Performer,82862.0,14968.15757220981
64,0.1344936884797835,Low,1,Stable Performer,85989.0,17347.466668032153
65,0.6437441083214482,Medium,3,Underpaid High Performer,64701.0,62476.331328759035
66,0.043057482832406506,Low,1,Stable Performer,147218.0,9508.254761431832
67,0.05586288818869491,Low,1,Stable Performer,143756.0,12045.938031681038
68,0.04494468234338963,Low,1,Stable Performer,115591.0,7792.801165132126
69,0.700133817670847,High,0,Disengaged Mid-Tenure,58394.0,61325.42122360716
70,0.10301334313390337,Low,2,Burnt-Out Overachiever,218923.0,33827.98517835529
71,0.04839081153978414,Low,1,Stable Performer,153367.0,11132.330390133111
72,0.04716718569608798,Low,1,Stable Performer,204852.0,14493.438486322522
73,0.05303735408402312,Low,1,Stable Performer,170668.0,13577.668720218086
74,0.05055609210899666,Low,1,Stable Performer,112690.0,8545.74902964425
75,0.18951882980763068,Low,0,Disengaged Mid-Tenure,107065.0,30436.25027003097
76,0.27512921699556664,Low,1,Stable Performer,121884.0,50300.774226431466
77,0.04523399534208917,Low,2,Burnt-Out Overachiever,195617.0,13272.807700250185
78,0.1200756518803069,Low,1,Stable Performer,132377.0,23842.88185343908
79,0.04438876532233913,Low,1,Stable Performer,134424.0,8950.373084535173
80,0.041977656311455176,Low,2,Burnt-Out Overachiever,155607.0,9798.025748484908
81,0.1442719341531238,Low,1,Stable Performer,73161.0,15832.618461865037
82,0.24559383866062515,Low,0,Disengaged Mid-Tenure,74359.0,27393.168373448138
83,0.10088602509655883,Low,1,Stable Performer,157127.0,23777.8776980205
84,0.42384005244597805,Medium,0,Disengaged Mid-Tenure,76500.0,48635.64601817598
85,0.16863194037953508,Low,1,Stable Performer,111134.0,28111.113093208878
86,0.7892340965312574,High,0,Disengaged Mid-Tenure,74444.0,88130.61462325939
87,0.053770199356373304,Low,2,Burnt-Out Overachiever,113691.0,9169.781602538156
88,0.29047898071255396,Low,1,Stable Performer,137701.0,59998.86918464909
89,0.08358657464895683,Low,3,Underpaid High Performer,78719.0,9869.777354686848
90,0.17173642331536468,Low,1,Stable Performer,170790.0,43996.2956070467
91,0.10732148422740753,Low,2,Burnt-Out Overachiever,131209.0,21122.31693599087
92,0.07933874383655948,Low,1,Stable Performer,114531.0,13630.11850551749
93,0.8251256034054685,High,0,Disengaged Mid-Tenure,96464.0,119392.37431035767
94,0.0685607179425182,Low,1,Stable Performer,99360.0,10218.289402152912
95,0.04466469781388621,Low,3,Underpaid High Performer,79727.0,5341.473543911559
96,0.24349913591912656,Low,3,Underpaid High Performer,109745.0,40084.219007166816
97,0.22161462545595342,Low,1,Stable Performer,62056.0,20628.77579594197
98,0.047790595618839415,Low,1,Stable Performer,204294.0,14644.99791203277
99,0.049973778622136825,Low,1,Stable Performer,113458.0,8504.8874623656
100,0.06822258416589914,Low,1,Stable Performer,170609.0,17459.08029293983
101,0.636519266680385,Medium,0,Disengaged Mid-Tenure,77398.0,73897.97730379266
102,0.7618277938915717,High,0,Disengaged Mid-Tenure,88208.0,100798.95906538164
103,0.03134986829421138,Low,3,Underpaid High Performer,78222.0,3678.374096564704
104,0.23188516773243864,Low,0,Disengaged Mid-Tenure,104799.0,36452.000539787754
105,0.39763140265429303,Medium,0,Disengaged Mid-Tenure,85941.0,51259.260563268894
106,0.10591846892035417,Low,1,Stable Performer,71775.0,11403.44716013763
107,0.10854992324624223,Low,1,Stable Performer,103997.0,16933.29955175918
108,0.0552147707801136,Low,1,Stable Performer,136943.0,11341.914532411645
109,0.08784276141089394,Low,1,Stable Performer,142341.0,18755.43975298208
110,0.4081103431596595,Medium,0,Disengaged Mid-Tenure,73195.0,44807.45485135692
111,0.17739726449970336,Low,1,Stable Performer,156648.0,41683.3900340243
112,0.5590445771792814,Medium,0,Disengaged Mid-Tenure,68535.0,57471.180145473074
113,0.26010227535290986,Low,1,Stable Performer,108266.0,42240.349415037206
114,0.04933481537064378,Low,1,Stable Performer,107615.0,7963.749234167745
115,0.04355164784660878,Low,1,Stable Performer,190975.0,12475.913921259169
116,0.03420729159936474,Low,1,Stable Performer,164876.0,8459.942114605292
117,0.07562582145179521,Low,1,Stable Performer,227143.0,25766.81394303768
118,0.9120148439610959,High,0,Disengaged Mid-Tenure,44644.0,61073.98604069875
119,0.02704762176942937,Low,3,Underpaid High Performer,69001.0,2799.4694245685937
120,0.28896255217870187,Low,0,Disengaged Mid-Tenure,93838.0,40673.50195701754
121,0.3072186639955466,Low,0,Disengaged Mid-Tenure,68047.0,31357.962643357438
122,0.3664572951718926,Medium,0,Disengaged Mid-Tenure,90751.0,49884.548991216645
123,0.05685643335858265,Low,1,Stable Performer,128874.0,10990.97398898097
124,0.19540885170716196,Low,0,Disengaged Mid-Tenure,95169.0,27895.297512178346
125,0.0822396186463145,Low,1,Stable Performer,93443.0,11527.075027751349
126,0.04989898529255824,Low,1,Stable Performer,197183.0,14758.847425413767
127,0.032978292961028714,Low,1,Stable Performer,174893.0,8651.508886249792
128,0.11013906964809832,Low,1,Stable Performer,190745.0,31512.71526003977
129,0.5017697591324087,Medium,3,Underpaid High Performer,99403.0,74816.12905055824
130,0.22413749784192027,Low,2,Burnt-Out Overachiever,111255.0,37404.62598360426
131,0.1569016289075285,Low,1,Stable Performer,128538.0,30251.73236477385
132,0.03699318158116892,Low,1,Stable Performer,210523.0,11681.873349018637
133,0.048940516419451505,Low,1,Stable Performer,130825.0,9603.964590862115
134,0.9461989722052,High,0,Disengaged Mid-Tenure,55978.0,79449.48909915403
135,0.19399588874440576,Low,1,Stable Performer,78074.0,22719.052526746105
136,0.0339700069431443,Low,3,Underpaid High Performer,116472.0,5934.831973022855
137,0.04521485557130925,Low,1,Stable Performer,92353.0,6263.591334865684
138,0.7873131488570747,High,0,Disengaged Mid-Tenure,72269.0,85347.50093212789
139,0.19583365953815743,Low,0,Disengaged Mid-Tenure,128085.0,37625.03142291734
140,0.20023269761758292,Low,0,Disengaged Mid-Tenure,101319.0,30431.065034873824
141,0.7420114204771453,High,0,Disengaged Mid-Tenure,64286.0,71551.41926519065
142,0.023338111512526637,Low,3,Underpaid High Performer,76243.0,2669.0514540743525
143,0.1635399257787348,Low,1,Stable Performer,146495.0,35936.672140433635
144,0.2429152249076437,Low,1,Stable Performer,93964.0,34237.92928983275
145,0.776080580837521,High,0,Disengaged Mid-Tenure,94661.0,110196.84579399085
146,0.0242135979920417,Low,1,Stable Performer,105648.0,3837.177300994832
147,0.054814785374940944,Low,3,Underpaid High Performer,104054.0,8555.546516106158
148,0.05253291297895141,Low,1,Stable Performer,169438.0,13351.607563991352
149,0.46498420891985276,Medium,0,Disengaged Mid-Tenure,68008.0,47433.96912033202
150,0.8541888631808167,High,0,Disengaged Mid-Tenure,57430.0,73584.09961871145
151,0.3164982735008756,Low,1,Stable Performer,96600.0,45860.59983027688
152,0.027183484346687617,Low,1,Stable Performer,120829.0,4926.829845188877
153,0.062068288915592074,Low,3,Underpaid High Performer,90851.0,8458.449174405683
154,0.6062068512796646,Medium,0,Disengaged Mid-Tenure,136293.0,123932.62557218898
155,0.26544954167411705,Low,1,Stable Performer,69602.0,27713.72849940284
156,0.7676732015536233,High,2,Burnt-Out Overachiever,69265.0,79759.32645841758
157,0.21951607880889756,Low,1,Stable Performer,80094.0,26372.88122417976
158,0.15646703633099068,Low,1,Stable Performer,87666.0,20575.258810488944
159,0.044083455006151205,Low,1,Stable Performer,101982.0,6743.578362655969
160,0.6492022141561983,Medium,0,Disengaged Mid-Tenure,73771.0,71838.44481077536
161,0.02100139367630699,Low,1,Stable Performer,145598.0,4586.641374724418
162,0.6756513677049523,High,0,Disengaged Mid-Tenure,102006.0,103380.74012116704
163,0.03216255579354193,Low,3,Underpaid High Performer,64935.0,3132.713340680468
164,0.5716747510202214,Medium,0,Disengaged Mid-Tenure,85611.0,73412.47066438825
165,0.07416560391453636,Low,1,Stable Performer,146797.0,16330.93223676329
166,0.33461962095693465,Low,0,Disengaged Mid-Tenure,79760.0,40033.89145128766
167,0.12034391655543474,Low,2,Burnt-Out Overachiever,95543.0,17247.028229183852
168,0.056539802970116355,Low,1,Stable Performer,94669.0,8028.849911066918
169,0.11299915316667908,Low,2,Burnt-Out Overachiever,125665.0,21300.05787403609
170,0.10870987006743724,Low,1,Stable Performer,100641.0,16411.005050185428
171,0.032741906759480306,Low,1,Stable Performer,123912.0,6085.672725571086
172,0.041931481679757784,Low,3,Underpaid High Performer,89260.0,5614.20608210277
173,0.9048940987911044,High,0,Disengaged Mid-Tenure,60095.0,81569.41630027712
174,0.20946285880743057,Low,1,Stable Performer,185562.0,58302.52050903664
175,0.09815528177844034,Low,1,Stable Performer,108020.0,15904.100306560687
176,0.4106450068037096,Medium,2,Burnt-Out Overachiever,123460.0,76047.34880997898
177,0.09082138453783332,Low,1,Stable Performer,93941.0,12797.7775273029
178,0.4200652934213429,Medium,0,Disengaged Mid-Tenure,85658.0,53972.929355828084
179,0.033419415977256534,Low,1,Stable Performer,134115.0,6723.06746068464
180,0.31378371391948773,Low,0,Disengaged Mid-Tenure,128225.0,60352.37507598947
181,0.15986155374898978,Low,1,Stable Performer,104222.0,24991.63628224082
182,0.3233253650542149,Low,2,Burnt-Out Overachiever,119127.0,57775.171144220185
183,0.04179365003520273,Low,1,Stable Performer,201054.0,12604.170771266476
184,0.2024876176322023,Low,1,Stable Performer,87380.0,26540.052043052754
185,0.09955136815702678,Low,1,Stable Performer,65093.0,9720.145811168017
186,0.05355689313900895,Low,1,Stable Performer,94733.0,7610.407736606602
187,0.12216912112253865,Low,1,Stable Performer,121343.0,22236.55149655831
188,0.05224254297507561,Low,3,Underpaid High Performer,85011.0,6661.786231281229
189,0.06710596610556276,Low,1,Stable Performer,164480.0,16556.38395756444
190,0.07017784717890357,Low,1,Stable Performer,239604.0,25222.33934318102
191,0.5541244943618359,Medium,0,Disengaged Mid-Tenure,64151.0,53321.4606567092
192,0.10611379228233404,Low,1,Stable Performer,74130.0,11799.323132834134
193,0.10010203596292505,Low,1,Stable Performer,132875.0,19951.587042860498
194,0.16032685815948727,Low,1,Stable Performer,183905.0,44227.36627473076
195,0.8911818435570575,High,2,Burnt-Out Overachiever,80353.0,107413.70201301036
196,0.08713094407814818,Low,1,Stable Performer,132035.0,17256.501302037443
197,0.606648735147357,Medium,0,Disengaged Mid-Tenure,105136.0,95670.93212767878
198,0.04737348452982857,Low,1,Stable Performer,135377.0,9619.920322791904
199,0.04224582784252502,Low,1,Stable Performer,183836.0,11649.456010887645
200,0.300383150961446,Low,0,Disengaged Mid-Tenure,82519.0,37180.97585128135
201,0.06618348290397931,Low,1,Stable Performer,175266.0,17399.571471973257
202,0.032488371871077906,Low,1,Stable Performer,121157.0,5904.2905061762785
203,0.309896507392813,Low,0,Disengaged Mid-Tenure,90832.0,42222.77933925598
204,0.06014391171894647,Low,1,Stable Performer,117345.0,10586.380980989661
205,0.056409452988630336,Low,1,Stable Performer,121747.0,10301.522509510167
206,0.07236551344476422,Low,1,Stable Performer,172091.0,18680.18036133438
207,0.036478087855152684,Low,1,Stable Performer,95724.0,5237.742722769954
208,0.04981889353380466,Low,1,Stable Performer,178183.0,13315.319859800875
209,0.05889577584144625,Low,1,Stable Performer,158385.0,13992.311184971197
210,0.03141919461133381,Low,3,Underpaid High Performer,94524.0,4454.801927162575
211,0.2420015609100379,Low,1,Stable Performer,110195.0,40001.043006722444
212,0.027482262447026635,Low,1,Stable Performer,125753.0,5183.965424251411
213,0.50846781944794,Medium,0,Disengaged Mid-Tenure,85375.0,65115.66012805181
214,0.14464202591163114,Low,1,Stable Performer,90428.0,19619.53367870547
215,0.465005827977399,Medium,0,Disengaged Mid-Tenure,71683.0,49999.51915035584
216,0.07681839041352434,Low,1,Stable Performer,155956.0,17970.433342997403
217,0.04310419517441762,Low,1,Stable Performer,138068.0,8926.965029012237
218,0.0784786573332376,Low,1,Stable Performer,82447.0,9705.49479173016
219,0.05692450437337725,Low,1,Stable Performer,87809.0,7497.725706782824
220,0.26699175360391236,Low,0,Disengaged Mid-Tenure,86264.0,34547.66494933185
221,0.02233135375175579,Low,1,Stable Performer,135711.0,4545.915523506796
222,0.03531307713168087,Low,1,Stable Performer,126790.0,6716.017574288727
223,0.6500509752933317,High,0,Disengaged Mid-Tenure,85104.0,82982.90730204555
224,0.24170164909446265,Low,1,Stable Performer,77139.0,27966.935264246633
225,0.09612914940814447,Low,1,Stable Performer,80878.0,11662.100018747864
226,0.2338356120313944,Low,0,Disengaged Mid-Tenure,94289.0,33072.18903424222
227,0.32218452558719507,Low,0,Disengaged Mid-Tenure,62997.0,30444.98783762479
228,0.823348912352021,High,0,Disengaged Mid-Tenure,58430.0,72162.41542309288
229,0.14388524144988432,Low,1,Stable Performer,106976.0,23088.401384014236
230,0.37057672126151275,Medium,1,Stable Performer,131736.0,73227.44242815996
231,0.03744393877966241,Low,3,Underpaid High Performer,91689.0,5149.7959541527
232,0.1137680530333802,Low,1,Stable Performer,94937.0,16201.196476245024
233,0.03933649906692404,Low,3,Underpaid High Performer,83247.0,4911.9683067363385
234,0.072257643717666,Low,1,Stable Performer,134493.0,14577.22091478008
235,0.44602769271263376,Medium,0,Disengaged Mid-Tenure,93190.0,62347.981025835514
236,0.23548277684586524,Low,1,Stable Performer,108072.0,38173.64198892952
237,0.05663734110692928,Low,1,Stable Performer,188593.0,16022.10910706867
238,0.23348146624529187,Low,1,Stable Performer,88887.0,31130.200635217887
239,0.04855957392048092,Low,1,Stable Performer,145443.0,10593.97516457476
240,0.9196761851840367,High,0,Disengaged Mid-Tenure,69806.0,96298.3736744353
241,0.5765975087043024,Medium,2,Burnt-Out Overachiever,121376.0,104977.64882474011
242,0.8922435334383689,High,0,Disengaged Mid-Tenure,61024.0,81672.40407681454
243,0.16598512853796651,Low,1,Stable Performer,68238.0,16989.73980176064
244,0.06269393993115249,Low,1,Stable Performer,148294.0,13945.702692225492
245,0.7406665730935031,High,2,Burnt-Out Overachiever,61688.0,68535.35934148803
246,0.050381511779488256,Low,1,Stable Performer,99811.0,7542.943608333753
247,0.09910475614999101,Low,1,Stable Performer,115017.0,17098.097607155272
248,0.2838167012350632,Low,2,Burnt-Out Overachiever,54415.0,23165.828696558947
249,0.03217941126722262,Low,1,Stable Performer,108530.0,5238.647257247506
250,0.2907673782403813,Low,0,Disengaged Mid-Tenure,74367.0,32435.246426403653
251,0.36937468894149755,Medium,0,Disengaged Mid-Tenure,80226.0,44450.18069253088
252,0.1156750150935096,Low,1,Stable Performer,134377.0,23316.092254830808
253,0.06721270689573881,Low,1,Stable Performer,168668.0,17004.94927003571
254,0.07028937071045738,Low,1,Stable Performer,135390.0,14274.716850733237
255,0.06515465627526969,Low,1,Stable Performer,127294.0,12440.69522385627
256,0.32588831438104926,Low,0,Disengaged Mid-Tenure,87146.0,42599.79456757638
257,0.14591331518629788,Low,1,Stable Performer,101992.0,22322.98626372134
258,0.11756684004801943,Low,1,Stable Performer,84271.0,14861.212766529969
259,0.04713568406806487,Low,2,Burnt-Out Overachiever,118340.0,8367.055278922195
260,0.4407501548194289,Medium,0,Disengaged Mid-Tenure,76490.0,50569.46901320718
261,0.18295394070694518,Low,0,Disengaged Mid-Tenure,111662.0,30643.50439082837
262,0.05349872301780858,Low,1,Stable Performer,124663.0,10003.966961353606
263,0.07740030627821375,Low,3,Underpaid High Performer,86951.0,10095.051046795445
264,0.05799220345049556,Low,1,Stable Performer,134119.0,11666.78450186552
265,0.044045250677488886,Low,1,Stable Performer,82351.0,5440.755657812831
266,0.7224573002711193,High,0,Disengaged Mid-Tenure,62708.0,67955.77857810202
267,0.205330836392452,Low,0,Disengaged Mid-Tenure,72518.0,22335.27239026175
268,0.885341997863656,High,0,Disengaged Mid-Tenure,96702.0,128421.51281611688
269,0.19984204023117866,Low,1,Stable Performer,146218.0,43830.75515778372
270,0.029275814017536077,Low,1,Stable Performer,114218.0,5015.737388182403
271,0.28174582526433845,Low,1,Stable Performer,134760.0,56952.10111893337
272,0.03163970456305972,Low,1,Stable Performer,182810.0,8676.081586759421
273,0.5095695156548748,Medium,0,Disengaged Mid-Tenure,79657.0,60886.16836278055
274,0.03205089202319648,Low,3,Underpaid High Performer,101844.0,4896.286570815633
275,0.04412157031404774,Low,3,Underpaid High Performer,70943.0,4695.174844184233
276,0.07776360282362192,Low,1,Stable Performer,89255.0,10411.185555033562
277,0.20632647377500932,Low,1,Stable Performer,106684.0,33017.60029231964
278,0.07363181461866675,Low,1,Stable Performer,103877.0,11472.978010714869
279,0.3509693914939259,Medium,1,Stable Performer,133301.0,70176.85628329773
280,0.8676681751574201,High,0,Disengaged Mid-Tenure,98504.0,128203.17888855976
281,0.784263776071704,High,2,Burnt-Out Overachiever,91909.0,108121.34909246137
282,0.16651691551049533,Low,2,Burnt-Out Overachiever,72440.0,18093.728039370424
283,0.10905529421359687,Low,1,Stable Performer,107144.0,17526.930664832435
284,0.22932722088156327,Low,0,Disengaged Mid-Tenure,144324.0,49646.13273976611
285,0.24254958692339545,Low,1,Stable Performer,93394.0,33979.014181685394
286,0.0788647438959543,Low,1,Stable Performer,83437.0,9870.356454670107
287,0.07721034042734341,Low,2,Burnt-Out Overachiever,79147.0,9166.450220704424
288,0.11052660986116276,Low,1,Stable Performer,147433.0,24442.904507491214
289,0.1991681047719567,Low,0,Disengaged Mid-Tenure,91113.0,27220.205295130938
290,0.04745004050340577,Low,1,Stable Performer,74613.0,5310.5848081209215
291,0.039595286141666595,Low,1,Stable Performer,167544.0,9950.928931979082
292,0.12923545068981282,Low,1,Stable Performer,99573.0,19302.5422973051
293,0.27229234363860016,Low,1,Stable Performer,114760.0,46872.40403394863
294,0.1297784574084955,Low,1,Stable Performer,247647.0,48208.868462762526
295,0.04797898948280652,Low,3,Underpaid High Performer,69349.0,4990.942412464724
296,0.23347130953478673,Low,2,Burnt-Out Overachiever,83005.0,29068.929071902458
297,0.05160114732230267,Low,1,Stable Performer,119522.0,9251.20849538439
298,0.04945527005004704,Low,1,Stable Performer,155609.0,11543.527675826654
299,0.05315094176338749,Low,2,Burnt-Out Overachiever,144341.0,11507.790127603672
300,0.05003123454062067,Low,1,Stable Performer,209993.0,15759.313552332833
301,0.058392080991903364,Low,3,Underpaid High Performer,80324.0,7035.428270390469
302,0.07496267297062338,Low,2,Burnt-Out Overachiever,109491.0,12311.607039339788
303,0.1289490866216516,Low,1,Stable Performer,82230.0,15905.225089347618
304,0.06959059542414646,Low,1,Stable Performer,117313.0,12245.82228148934
305,0.17279936948927838,Low,0,Disengaged Mid-Tenure,110271.0,28582.138909428322
306,0.15957762493418035,Low,2,Burnt-Out Overachiever,80711.0,19319.504529093945
307,0.08898291066038914,Low,1,Stable Performer,143568.0,19162.647776536123
308,0.06274986874935974,Low,1,Stable Performer,92999.0,8753.51256573256
309,0.22963781121571103,Low,2,Burnt-Out Overachiever,75885.0,26139.097956156347
310,0.4678430268259079,Medium,0,Disengaged Mid-Tenure,62828.0,44090.46253412721
311,0.044090487118408905,Low,1,Stable Performer,121201.0,8015.716693857416
312,0.05351554153799058,Low,1,Stable Performer,194722.0,15630.979919040903
313,0.501286839171446,Medium,0,Disengaged Mid-Tenure,106796.0,80303.14391423062
314,0.04817005325971406,Low,1,Stable Performer,150246.0,10856.036733088498
315,0.07236707774149402,Low,1,Stable Performer,103960.0,11284.922103008577
316,0.04751852734868653,Low,1,Stable Performer,86479.0,6164.032089880594
317,0.22665572319490596,Low,0,Disengaged Mid-Tenure,77933.0,26495.94071362291
318,0.08392971245563949,Low,1,Stable Performer,91188.0,11480.07392910728
319,0.19894602046561727,Low,1,Stable Performer,87187.0,26018.26002950366
320,0.02830949792722268,Low,3,Underpaid High Performer,114220.0,4850.266279871062
321,0.19538899751693103,Low,1,Stable Performer,102565.0,30060.10879548605
322,0.15061073367917363,Low,0,Disengaged Mid-Tenure,116029.0,26212.819227091255
323,0.26416738919222893,Low,0,Disengaged Mid-Tenure,72747.0,28826.077592350615
324,0.2592483714529969,Low,0,Disengaged Mid-Tenure,123544.0,48042.871204183575
325,0.037972016042191664,Low,1,Stable Performer,168532.0,9599.249711433968
326,0.09501786141102585,Low,1,Stable Performer,73336.0,10452.344826658487
327,0.3714057515491008,Medium,0,Disengaged Mid-Tenure,70139.0,39075.04201185358
328,0.12479874946812314,Low,1,Stable Performer,88136.0,16498.893874683752
329,0.8120869964329218,High,0,Disengaged Mid-Tenure,99054.0,120660.69801699996
330,0.10698225820659227,Low,2,Burnt-Out Overachiever,153109.0,24569.919857629702
331,0.031986025761425375,Low,1,Stable Performer,91369.0,4383.7967816935125
332,0.20221435942793148,Low,1,Stable Performer,158901.0,48198.09589118661
333,0.19218283463268052,Low,1,Stable Performer,192008.0,55350.96256822758
334,0.06062425926411725,Low,1,Stable Performer,155974.0,14183.712321692135
335,0.04626083930426493,Low,2,Burnt-Out Overachiever,205862.0,14285.023351281881
336,0.04632654894942849,Low,1,Stable Performer,186257.0,12942.966041510554
337,0.02911949099417673,Low,1,Stable Performer,88393.0,3860.9387511723953
338,0.1101920739447092,Low,2,Burnt-Out Overachiever,72524.0,11987.354956149135
339,0.06811455256511675,Low,1,Stable Performer,183009.0,18698.364225584177
340,0.18525699258694245,Low,3,Underpaid High Performer,70923.0,19708.47252786558
341,0.0359660600063097,Low,3,Underpaid High Performer,95172.0,5134.44279438076
342,0.03137140213798553,Low,1,Stable Performer,182904.0,8606.932404969159
343,0.1663225261613091,Low,2,Burnt-Out Overachiever,74734.0,18644.921505208913
344,0.07979971542222168,Low,1,Stable Performer,71431.0,8550.260208487076
345,0.06816215610713985,Low,1,Stable Performer,186146.0,19032.16906607948
346,0.11454583999828151,Low,1,Stable Performer,171891.0,29534.09847471691
347,0.04606020034077215,Low,1,Stable Performer,173823.0,12009.483305751055
348,0.160210852861854,Low,0,Disengaged Mid-Tenure,84234.0,20242.801469948114
349,0.24740897203075504,Low,0,Disengaged Mid-Tenure,85321.0,31663.77135395408
350,0.11288659284298204,Low,3,Underpaid High Performer,86329.0,14618.080010312695
351,0.06733763882779767,Low,1,Stable Performer,215540.0,21770.932009415264
352,0.10520875739811487,Low,1,Stable Performer,79570.0,12557.191239252
353,0.05018354272700475,Low,1,Stable Performer,155953.0,11739.411058356858
354,0.1215052912360847,Low,1,Stable Performer,159234.0,29021.660317030066
355,0.38573410844170203,Medium,0,Disengaged Mid-Tenure,65181.0,37713.80238350787
356,0.6698180155428148,High,0,Disengaged Mid-Tenure,116943.0,117495.79228743509
357,0.09989910707327711,Low,1,Stable Performer,128970.0,19325.981758860824
358,0.31123181507737896,Low,0,Disengaged Mid-Tenure,76523.0,35724.588277749404
359,0.07343837285799158,Low,1,Stable Performer,86532.0,9532.153920221592
360,0.06682181999541216,Low,1,Stable Performer,106858.0,10710.669061604629
